Notes,Year,Year Code,Month,Month Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Mar., 1999",1999/03,Idaho,16,66,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Illinois,17,1014,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Indiana,18,537,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Iowa,19,172,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Kansas,20,160,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Kentucky,21,301,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Louisiana,22,302,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Maine,23,84,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Maryland,24,455,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Massachusetts,25,712,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Michigan,26,758,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Minnesota,27,279,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Mississippi,28,103,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Missouri,29,458,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Montana,30,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Nebraska,31,117,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Nevada,32,138,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,New Hampshire,33,69,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,New Jersey,34,638,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,New Mexico,35,94,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,New York,36,1318,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Mar., 1999",1999/03,North Carolina,37,592,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,North Dakota,38,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Ohio,39,1033,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Oklahoma,40,191,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Oregon,41,233,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Pennsylvania,42,1172,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Mar., 1999",1999/03,Rhode Island,44,104,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,South Carolina,45,330,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,South Dakota,46,35,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Tennessee,47,498,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Texas,48,1162,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Mar., 1999",1999/03,Utah,49,109,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Vermont,50,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Virginia,51,522,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Washington,53,442,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,West Virginia,54,172,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Wisconsin,55,383,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Wyoming,56,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Alabama,1,302,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Alaska,2,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Arizona,4,361,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Arkansas,5,107,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,California,6,1538,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Apr., 1999",1999/04,Colorado,8,248,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Connecticut,9,233,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Delaware,10,59,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,District of Columbia,11,33,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Florida,12,1253,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Apr., 1999",1999/04,Georgia,13,431,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Hawaii,15,42,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Idaho,16,60,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Illinois,17,690,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Indiana,18,361,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Iowa,19,129,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Kansas,20,139,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Kentucky,21,200,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Louisiana,22,220,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Maine,23,59,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Maryland,24,325,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Massachusetts,25,499,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Michigan,26,584,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Minnesota,27,203,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Mississippi,28,91,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Missouri,29,344,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Montana,30,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Nebraska,31,76,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Nevada,32,138,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,New Hampshire,33,49,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,New Jersey,34,517,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,New Mexico,35,76,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,New York,36,1080,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,North Carolina,37,397,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,North Dakota,38,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Ohio,39,708,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Oklahoma,40,148,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Oregon,41,221,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Pennsylvania,42,985,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Rhode Island,44,73,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,South Carolina,45,253,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,South Dakota,46,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Tennessee,47,318,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Texas,48,915,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Utah,49,73,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Vermont,50,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
