,State,Month,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Deaths,% of Total Deaths,T-1,D-1,o3-1,SO2-1,CO-1,C_D,C_o3,C_SO2,C_CO
26,California,3,2004,18.76932987804878,0.0271624146341463,1.695918862266858,0.5738630796269728,2166,0.10%,0.0,2359.0,0.0263426160767846,1.3069478842231554,0.5358134961007799,-193.0,0.000819798557361702,0.3889709780437025,0.03804958352619292
27,California,3,2005,13.50214133787466,0.0278256948228882,1.5131404591280655,0.4491601559945504,2232,0.10%,0.0,2166.0,0.0271624146341463,1.695918862266858,0.5738630796269728,66.0,0.0006632801887418993,-0.18277840313879246,-0.12470292363242241
28,California,3,2006,12.307337008086254,0.0290060040431266,0.9300338962264152,0.4161018227762803,2275,0.10%,0.0,2232.0,0.0278256948228882,1.5131404591280655,0.4491601559945504,43.0,0.0011803092202384013,-0.5831065629016503,-0.03305833321827012
29,California,3,2007,15.083873298200514,0.0274418676092544,1.1970843566838043,0.4169540057840617,2129,0.10%,0.0,2275.0,0.0290060040431266,0.9300338962264152,0.4161018227762803,-146.0,-0.0015641364338722027,0.2670504604573891,0.0008521830077814485
30,California,3,2008,13.509023217342342,0.0291948209459459,1.041042884572072,0.3751556041666666,2510,0.10%,0.0,2129.0,0.0274418676092544,1.1970843566838043,0.4169540057840617,381.0,0.0017529533366915026,-0.15604147211173225,-0.04179840161739512
31,California,3,2009,12.019616080254776,0.0298587121019108,1.082336001910828,0.3672963121019108,2066,0.10%,0.0,2510.0,0.0291948209459459,1.041042884572072,0.3751556041666666,-444.0,0.000663891155964897,0.04129311733875585,-0.007859292064755774
32,California,3,2010,12.994866711594202,0.0287203463768115,0.7976582188405797,0.3254907543478261,2317,0.10%,0.0,2066.0,0.0298587121019108,1.082336001910828,0.3672963121019108,251.0,-0.0011383657250992989,-0.28467778307024816,-0.04180555775408473
33,California,4,2000,15.240846867318435,0.0312708617318435,1.4491734392458102,0.5333552115921788,1683,0.10%,1.0,2317.0,0.0287203463768115,0.7976582188405797,0.3254907543478261,0.0,0.0,0.0,0.0
34,California,4,2001,13.871829833223032,0.0324197564526803,1.5266863977498346,0.450941664460622,2119,0.10%,0.0,1683.0,0.0312708617318435,1.4491734392458102,0.5333552115921788,436.0,0.0011488947208367975,0.0775129585040244,-0.0824135471315568
35,California,4,2002,12.53983470556872,0.0314505639810426,1.2999265379146918,0.4401698744075829,2037,0.10%,0.0,2119.0,0.0324197564526803,1.5266863977498346,0.450941664460622,-82.0,-0.0009691924716376948,-0.2267598598351428,-0.010771790053039132
36,California,4,2003,11.225791282338308,0.034063407960199,1.205378406716418,0.4075635348258706,1945,0.10%,0.0,2037.0,0.0314505639810426,1.2999265379146918,0.4401698744075829,-92.0,0.0026128439791563984,-0.09454813119827388,-0.032606339581712274
37,California,4,2004,12.026708165137617,0.0355297973673713,1.8115996449940168,0.4677430893498204,1849,0.10%,0.0,1945.0,0.034063407960199,1.205378406716418,0.4075635348258706,-96.0,0.0014663894071723013,0.6062212382775989,0.060179554523949796
38,California,4,2005,12.062418836762689,0.0324333319615912,1.382499327160494,0.4012413840877915,2000,0.10%,0.0,1849.0,0.0355297973673713,1.8115996449940168,0.4677430893498204,151.0,-0.0030964654057801036,-0.42910031783352287,-0.06650170526202892
39,California,4,2006,10.556803329608938,0.0307703868715083,0.964112909916201,0.3881377444134078,1971,0.10%,0.0,2000.0,0.0324333319615912,1.382499327160494,0.4012413840877915,-29.0,-0.0016629450900828985,-0.41838641724429293,-0.01310363967438366
40,California,4,2007,10.153266397225725,0.0344789886506935,1.107876736443884,0.3671902925598991,1878,0.10%,0.0,1971.0,0.0307703868715083,0.964112909916201,0.3881377444134078,-93.0,0.0037086017791852013,0.14376382652768294,-0.020947451853508714
41,California,4,2008,11.465743723577235,0.0368562961672473,1.0362422444831592,0.3187042479674797,2000,0.10%,0.0,1878.0,0.0344789886506935,1.107876736443884,0.3671902925598991,122.0,0.002377307516553802,-0.0716344919607248,-0.0484860445924194
42,California,4,2009,10.70302392244898,0.0356631034013605,1.1873756136054423,0.3772934292517007,1831,0.10%,0.0,2000.0,0.0368562961672473,1.0362422444831592,0.3187042479674797,-169.0,-0.001193192765886801,0.15113336912228315,0.05858918128422097
43,California,4,2010,9.188868894736842,0.0331500030959752,0.6499619806501549,0.2997364055727554,1924,0.10%,0.0,1831.0,0.0356631034013605,1.1873756136054423,0.3772934292517007,93.0,-0.0025131003053853046,-0.5374136329552874,-0.07755702367894529
44,California,5,2000,13.672838584985836,0.0322773611898017,1.7671036175637396,0.4441593016997167,1675,0.10%,1.0,1924.0,0.0331500030959752,0.6499619806501549,0.2997364055727554,0.0,0.0,0.0,0.0
45,California,5,2001,15.204309616840732,0.0358406710182767,1.7051968766318537,0.4595953913185378,2053,0.10%,0.0,1675.0,0.0322773611898017,1.7671036175637396,0.4441593016997167,378.0,0.0035633098284749976,-0.06190674093188586,0.015436089618821147
46,California,5,2002,11.79588302724177,0.0347599682179341,1.279935216799092,0.3829827803632236,1910,0.10%,0.0,2053.0,0.0358406710182767,1.7051968766318537,0.4595953913185378,-143.0,-0.0010807028003426006,-0.42526165983276165,-0.07661261095531424
47,California,5,2003,12.469390094577552,0.0353811160151324,1.495272734552333,0.4422873385876418,1895,0.10%,0.0,1910.0,0.0347599682179341,1.279935216799092,0.3829827803632236,-15.0,0.0006211477971983029,0.21533751775324084,0.05930455822441821
48,California,5,2004,11.67763360804769,0.034559976900149,1.5263423852459015,0.4335952216840537,1712,0.10%,0.0,1895.0,0.0353811160151324,1.495272734552333,0.4422873385876418,-183.0,-0.0008211391149833963,0.031069650693568596,-0.00869211690358812
49,California,5,2005,9.521087023762377,0.0321608250825082,1.2474309755775577,0.3346712937293729,2004,0.10%,0.0,1712.0,0.034559976900149,1.5263423852459015,0.4335952216840537,292.0,-0.0023991518176408044,-0.2789114096683438,-0.0989239279546808
50,California,5,2006,9.890279881309686,0.0362500368349249,1.1891231180081854,0.320624514324693,1786,0.10%,0.0,2004.0,0.0321608250825082,1.2474309755775577,0.3346712937293729,-218.0,0.004089211752416701,-0.05830785756937229,-0.014046779404679854
51,California,5,2007,8.952438961514966,0.0385071771533292,0.979472880879658,0.294405621869273,1807,0.10%,0.0,1786.0,0.0362500368349249,1.1891231180081854,0.320624514324693,21.0,0.0022571403184043007,-0.20965023712852737,-0.02621889245542003
52,California,5,2008,8.88611410620525,0.0365293830548926,0.9097613752983292,0.2850895316229117,1762,0.10%,0.0,1807.0,0.0385071771533292,0.979472880879658,0.294405621869273,-45.0,-0.001977794098436597,-0.06971150558132877,-0.00931609024636132
53,California,5,2009,8.870648573627845,0.0342062811244979,1.0612728165997325,0.2857142787817938,1802,0.10%,0.0,1762.0,0.0365293830548926,0.9097613752983292,0.2850895316229117,40.0,-0.0023231019303947,0.15151144130140326,0.0006247471588821107
54,California,5,2010,7.587130922846442,0.0334333550561797,0.7196477370786517,0.2594376254681648,1819,0.10%,0.0,1802.0,0.0342062811244979,1.0612728165997325,0.2857142787817938,17.0,-0.0007729260683182054,-0.3416250795210808,-0.026276653313628995
